en,kor,cc
Tom studies harder than anyone else I know.,톰은 내가 알고 있는 그 누구보다 공부를 열심히 해.,CC-BY 2.0 (France) Attribution: tatoeba.org #1092854 (CK) & #8363893 (Eunhee)
You're making a big mistake.,너 큰 실수 하는 거야.,CC-BY 2.0 (France) Attribution: tatoeba.org #1808157 (Spamster) & #11105245 (intertime)
Tom told me Mary is leaving tomorrow.,톰이 메리가 내일 떠난다고 나한테 말했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #6646378 (CK) & #8362092 (Eunhee)
Why do you speak French so well?,당신은 어떻게 그렇게 프랑스어를 잘 합니까?,CC-BY 2.0 (France) Attribution: tatoeba.org #3557589 (CK) & #11104905 (intertime)
I can't imagine a day without you.,네가 없는 날이란 상상도 못 하겠어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1951962 (CK) & #8365787 (Eunhee)
I major in economics.,난 경제학을 전공하고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #238003 (CK) & #8401457 (Eunhee)
Our baby can't talk yet.,우리 아기는 아직 말을 못해.,CC-BY 2.0 (France) Attribution: tatoeba.org #6873463 (CK) & #8358264 (Eunhee)
I ate at a restaurant.,나는 레스토랑에서 식사했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #6356859 (CK) & #11110718 (intertime)
"Yes, I kissed him.",네. 그 남자와 키스했어요.,CC-BY 2.0 (France) Attribution: tatoeba.org #2260408 (Hybrid) & #11106056 (intertime)
This building has a green roof.,이 건물의 지붕은 초록색이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8217676 (Hybrid) & #8365111 (Eunhee)
I was only thirteen at the time.,그 당시 나는 열세살일 뿐이었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7737747 (CK) & #8362165 (Eunhee)
It's a pity.,안타까워요.,CC-BY 2.0 (France) Attribution: tatoeba.org #4305914 (kimsora) & #4046105 (intratech)
I took a walk with my dog.,내 개와 산책했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3953894 (KoreanBeaver) & #3718247 (Queserasera)
I don't know where they hid the key.,나는 그들이 열쇠를 어디에 숨겼는지 모른다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2266940 (_undertoad) & #11105411 (intertime)
I wish I hadn't kissed you.,너한테 키스하지 말았어야 했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #3914075 (CH) & #8375033 (Eunhee)
She's too young to get married.,그녀는 결혼하기엔 너무 어리다.,CC-BY 2.0 (France) Attribution: tatoeba.org #954977 (FeuDRenais2) & #11105539 (intertime)
Why don't we just reformat the hard disk? You've been having a lot of trouble with it.,우리 그냥 하드 디스크를 새로 포맷하는 건 어때? 너무 그걸로 스트레스 많이 받고 있잖아.,CC-BY 2.0 (France) Attribution: tatoeba.org #954672 (CK) & #8423018 (Eunhee)
He's in his fifties.,그 사람은 오십 대야.,CC-BY 2.0 (France) Attribution: tatoeba.org #2252871 (_undertoad) & #8362217 (Eunhee)
Goodbye!,안녕!,CC-BY 2.0 (France) Attribution: tatoeba.org #516745 (minshirui) & #5548647 (YUJIHEE)
"It looks like snow, doesn't it?","눈인 것 같은데, 안 그래?",CC-BY 2.0 (France) Attribution: tatoeba.org #272563 (CK) & #11106242 (intertime)
Are you a Canadian citizen?,당신은 캐나다 시민입니까?,CC-BY 2.0 (France) Attribution: tatoeba.org #4666071 (CK) & #8549620 (okja)
My boss thinks he's God.,내 상사는 자기가 신인 줄 알아.,CC-BY 2.0 (France) Attribution: tatoeba.org #7681605 (DanielDaniel) & #8363258 (Eunhee)
Can I go now?,이제 가도 되나요?,CC-BY 2.0 (France) Attribution: tatoeba.org #2149128 (Hybrid) & #7500611 (raining211)
I got a D on my science test.,난 과학 시험에서 D를 받았어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1933291 (CK) & #8363699 (Eunhee)
Tom didn't wear a suit today.,톰은 오늘 정장을 입지 않았어.,CC-BY 2.0 (France) Attribution: tatoeba.org #5640448 (CK) & #8363498 (Eunhee)
Everyone hesitated.,모두 주저했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111872 (CK) & #8368360 (Eunhee)
Dreams sometimes come true.,꿈은 가끔 이루어져.,CC-BY 2.0 (France) Attribution: tatoeba.org #322760 (CK) & #8363651 (Eunhee)
Tom wants to quit.,톰은 그만두고 싶어 한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1908929 (Spamster) & #3684919 (intertime)
I thanked him for what he had done.,나는 그의 행동에 감사를 표했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #259959 (CK) & #11105875 (intertime)
Tom has some experience in teaching French.,톰은 프랑스어를 가르친 경험이 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #4663338 (CK) & #8550284 (Eunhee)
How beautiful!,이렇게나 아름다울 수가!,CC-BY 2.0 (France) Attribution: tatoeba.org #1913083 (CK) & #8363366 (Eunhee)
Am I alone here?,여기 나 혼자에요?,CC-BY 2.0 (France) Attribution: tatoeba.org #2208343 (CK) & #11106118 (intertime)
I'm not telling you to go alone.,혼자 가라는 소리가 아니야.,CC-BY 2.0 (France) Attribution: tatoeba.org #2591002 (CK) & #11105181 (intertime)
Tom is our next-door neighbor.,톰은 우리의 옆집 이웃이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3158721 (CK) & #5526758 (raining211)
Keep talking.,계속 말하고 있어봐.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111635 (CK) & #8368327 (Eunhee)
Do you remember?,기억하시나요?,CC-BY 2.0 (France) Attribution: tatoeba.org #21678 (CK) & #11106477 (intertime)
Hi.,안녕.,CC-BY 2.0 (France) Attribution: tatoeba.org #538123 (CM) & #8355888 (Eunhee)
It's true Tom is a strict father.,톰이 엄격한 아빠라는 건 사실이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8186032 (CK) & #8367267 (Eunhee)
I've finished the job.,다 끝냈어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7965148 (CK) & #7965161 (EstasKorea)
I still don't think it's fair.,난 아직도 이게 공평하다고 생각하지 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #2361705 (CK) & #8396339 (Eunhee)
Tom wants this one.,톰은 이것 하나를 원한다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1141029 (CK) & #11105538 (intertime)
Tom often comes here.,톰은 종종 여기 온다.,CC-BY 2.0 (France) Attribution: tatoeba.org #5693969 (marcj794) & #11110798 (intertime)
Please smile.,웃어줘.,CC-BY 2.0 (France) Attribution: tatoeba.org #1852296 (CK) & #8363359 (Eunhee)
Try to see the problem from her point of view.,그 사람의 관점으로 문제를 보려고 노력하자.,CC-BY 2.0 (France) Attribution: tatoeba.org #309853 (CK) & #8367750 (Eunhee)
There are some apples in the basket.,바구니에 사과 몇 개가 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #63765 (CK) & #11105248 (intertime)
I hate the winter.,나는 겨울이 싫다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2516435 (CK) & #11106736 (intertime)
Tom isn't likely to pass the driving test.,톰은 운전면허 시험에 떨어질 듯 하다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7021243 (CK) & #7021327 (crowdy)
What I want now is hot coffee.,내가 지금 원하는 건 따끈한 커피야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8559514 (Smorrs) & #8560395 (Eunhee)
Whose book is this?,이것은 누구의 책입니까?,CC-BY 2.0 (France) Attribution: tatoeba.org #54871 (CK) & #3948403 (thomaspark)
I caught a cold.,감기에 걸렸어.,CC-BY 2.0 (France) Attribution: tatoeba.org #261585 (CK) & #8437643 (Eunhee)
I did it for the money.,나는 돈을 위해 그것을 했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #5859828 (CK) & #11107555 (intertime)
I can't shake off my cold.,감기가 안나아.,CC-BY 2.0 (France) Attribution: tatoeba.org #319732 (CK) & #8437622 (Eunhee)
Are you able to swim?,수영하실 수 있나요?,CC-BY 2.0 (France) Attribution: tatoeba.org #69668 (CK) & #11105647 (intertime)
This house is not for sale.,이 집은 팔려고 내놓은 집 아니에요.,CC-BY 2.0 (France) Attribution: tatoeba.org #60133 (Dejo) & #4748343 (kimhkng)
"It doesn't matter how old you get, you can learn.",나이에 상관 없이 배울 수 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1003294 (CK) & #8363833 (Eunhee)
Why didn't you tell me you weren't going to be there?,왜 네가 거기에 안 갈 거라고 말 나한테 안 했어?,CC-BY 2.0 (France) Attribution: tatoeba.org #7505862 (CK) & #8367652 (Eunhee)
It took me three hours to clean my house.,집을 청소하는데 3시간이 걸렸습니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #6845046 (CK) & #6845300 (dalgarak)
Tom shot Mary.,톰은 메리를 쐈다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1164210 (CK) & #11105811 (intertime)
Tom's speech was good.,톰이 한 연설은 좋았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3428643 (CK) & #11469886 (milimos)
I don't lie.,나는 거짓말 하지 않아.,CC-BY 2.0 (France) Attribution: tatoeba.org #2245722 (CK) & #5254836 (rainbow4us)
I take back what I said.,아까 한 말 취소야.,CC-BY 2.0 (France) Attribution: tatoeba.org #242033 (CK) & #3707727 (rainbow4us)
We didn't expect it to take this long.,이렇게 시간이 걸릴 줄은 몰랐어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1893899 (CK) & #8397873 (Eunhee)
Oranges have a lot of vitamin C.,오렌지는 많은 비타민C를 함유하고 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1110731 (CK) & #7965150 (EstasKorea)
We didn't find a weapon.,우리는 무기를 찾지 못했다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2281747 (CK) & #11106626 (intertime)
She came to my aid.,그녀는 나를 도우러 왔다.,CC-BY 2.0 (France) Attribution: tatoeba.org #308367 (CK) & #11105922 (intertime)
Do you like baking cakes?,케이크 굽는 거 좋아해?,CC-BY 2.0 (France) Attribution: tatoeba.org #8533299 (sundown) & #8533893 (Eunhee)
Can you give me directions to the subway station?,지하철로 가는 길 좀 알려줄 수 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #277078 (CK) & #8369653 (Eunhee)
Tom is too old.,톰은 너무 늙었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2273561 (CK) & #4785992 (kimhkng)
I wanted Tom to go to Australia.,난 톰이 호주에 갔으면 했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8363057 (CK) & #8363160 (Eunhee)
Have you been in Boston for a long time?,오랜 기간 보스턴에 있어본 적 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #8531155 (CK) & #8533684 (Eunhee)
This grocery store only sells organic food.,이 슈퍼마켓에선 오직 유기농 음식만 팔아.,CC-BY 2.0 (France) Attribution: tatoeba.org #4190431 (Hybrid) & #8365259 (Eunhee)
Where's Tom hiding?,톰은 어디에 숨어 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #2647779 (CK) & #8360528 (Eunhee)
It's coming back to me now.,이제 다시 기억이 나네요.,CC-BY 2.0 (France) Attribution: tatoeba.org #11489683 (camouat) & #11085703 (Eunhee)
My tea is too sweet.,내 차는 너무 달다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1987392 (CM) & #11105660 (intertime)
Did you just insult me?,방금 날 모욕했어?,CC-BY 2.0 (France) Attribution: tatoeba.org #5196313 (Hybrid) & #8362120 (Eunhee)
Would you like me to help you do that?,내가 널 도와줬으면 좋겠어?,CC-BY 2.0 (France) Attribution: tatoeba.org #4104487 (CK) & #8366769 (Eunhee)
Everyone laughed.,모두가 웃었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1655511 (Spamster) & #8363349 (Eunhee)
Did you love me?,당신은 저를 사랑했습니까?,CC-BY 2.0 (France) Attribution: tatoeba.org #1816768 (Amastan) & #11105603 (intertime)
We succeeded.,우린 성공했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1841559 (CK) & #8368245 (Eunhee)
Any questions?,질문 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #2171237 (Hybrid) & #8368393 (Eunhee)
Mary is wearing a silk dress.,메리는 비단으로 된 드레스를 입고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8351415 (CK) & #8367129 (Eunhee)
I wish that I could've helped Tom more.,내가 톰을 더 도와줄 수 있었다면 좋았을 텐데.,CC-BY 2.0 (France) Attribution: tatoeba.org #6086337 (CK) & #8361484 (Eunhee)
I hate my voice.,나는 내 목소리가 싫다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1887343 (CK) & #5526769 (raining211)
Are these your socks?,이 양말 당신 거에요?,CC-BY 2.0 (France) Attribution: tatoeba.org #9279748 (CK) & #11104648 (intertime)
There's already a plan in place.,이미 계획이 세워져 있어요.,CC-BY 2.0 (France) Attribution: tatoeba.org #9640687 (CK) & #10902039 (HappyMidnight)
Tom is wearing black glasses.,톰은 검은 안경을 쓰고 있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8827735 (alpucca) & #8396664 (Eunhee)
Tom drowned.,톰이 익사했어.,CC-BY 2.0 (France) Attribution: tatoeba.org #2111184 (CK) & #8368287 (Eunhee)
I can't walk fast.,난 빠른 걸음을 할 수 없어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8516468 (CK) & #8533730 (Eunhee)
Tom shut his computer off.,톰은 자기 컴퓨터를 껐어.,CC-BY 2.0 (France) Attribution: tatoeba.org #7371570 (CK) & #8363706 (Eunhee)
Tom hates cats.,톰은 고양이를 싫어해.,CC-BY 2.0 (France) Attribution: tatoeba.org #3422200 (CK) & #8364940 (Eunhee)
We need hats.,우리는 모자가 필요하다.,CC-BY 2.0 (France) Attribution: tatoeba.org #9962780 (CK) & #11110716 (intertime)
Is that too hard for you?,너한테 너무 어려워?,CC-BY 2.0 (France) Attribution: tatoeba.org #8463158 (Luiaard) & #11107545 (intertime)
Ghosts exist.,유령은 존재해.,CC-BY 2.0 (France) Attribution: tatoeba.org #324442 (CM) & #8363301 (Eunhee)
This pizza is terrible.,이 피자 너무 끔찍해.,CC-BY 2.0 (France) Attribution: tatoeba.org #8354670 (shekitten) & #8357740 (Eunhee)
We graduate from high school at eighteen.,우리는 18살에 고등학교를 졸업합니다.,CC-BY 2.0 (France) Attribution: tatoeba.org #247797 (CK) & #4952520 (rainbow4us)
I need printer paper.,프린터 종이가 필요하다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2650962 (meerkat) & #11105256 (intertime)
Who?,누구?,CC-BY 2.0 (France) Attribution: tatoeba.org #2083030 (CK) & #6820074 (yesjustryan)
The old man died from hunger.,그 어르신은 굶어 죽었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #480146 (CK) & #8361919 (Eunhee)
Leave now.,당장 떠나.,CC-BY 2.0 (France) Attribution: tatoeba.org #52067 (CM) & #8355966 (Eunhee)
Tom's boss was really angry.,톰의 상사는 정말 화가 났다.,CC-BY 2.0 (France) Attribution: tatoeba.org #8126729 (Hybrid) & #8533641 (Eunhee)
I hate hypocrisy.,위선은 싫다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1260892 (CK) & #11105241 (intertime)
I know that Tom is a very generous man.,나는 톰이 매우 관대한 사람이라는 것을 안다.,CC-BY 2.0 (France) Attribution: tatoeba.org #7515858 (CK) & #8367360 (Eunhee)
Where is the cat?,고양이는 어딨어?,CC-BY 2.0 (France) Attribution: tatoeba.org #1851459 (Spamster) & #8364963 (Eunhee)
I want Tom.,난 톰을 원해.,CC-BY 2.0 (France) Attribution: tatoeba.org #2235741 (CK) & #8365809 (Eunhee)
Puns are hard to translate.,말장난은 번역하기 어려워.,CC-BY 2.0 (France) Attribution: tatoeba.org #8533314 (sundown) & #8533884 (Eunhee)
We can be there in fifteen minutes.,우리는 15분이면 그곳에 갈 수 있다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2953561 (CK) & #11107512 (intertime)
Science is very exciting.,과학은 아주 흥미진진해.,CC-BY 2.0 (France) Attribution: tatoeba.org #1866459 (Spamster) & #8363685 (Eunhee)
Have you ever been in love?,너 한번이라도 사랑해본 적 있어?,CC-BY 2.0 (France) Attribution: tatoeba.org #2182753 (Hybrid) & #8362304 (Eunhee)
I'm still optimistic about the project.,난 그 프로젝트에 대해 아직 긍정적이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #8532689 (CK) & #8533673 (Eunhee)
I need to buy something to eat.,난 먹을거리를 사야겠어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8365626 (CK) & #8366993 (Eunhee)
The earth is much larger than the moon.,지구는 달보다 훨씬 더 넓어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1461905 (CK) & #8365773 (Eunhee)
You've got something stuck in your teeth.,이빨에 뭔가 끼어있어.,CC-BY 2.0 (France) Attribution: tatoeba.org #8069422 (CK) & #8406172 (Eunhee)
Something is happening.,뭔가가 일어나는 중이야.,CC-BY 2.0 (France) Attribution: tatoeba.org #2249990 (CK) & #8367353 (Eunhee)
Let's go to the hospital.,병원으로 갑시다.,CC-BY 2.0 (France) Attribution: tatoeba.org #2007551 (CK) & #11106130 (intertime)
It is warm.,따뜻해.,CC-BY 2.0 (France) Attribution: tatoeba.org #456141 (lukaszpp) & #8358575 (Eunhee)
I no longer like you.,나는 너를 더이상 좋아하지 않아,CC-BY 2.0 (France) Attribution: tatoeba.org #1081166 (keira_n) & #8306501 (ljj)
Tom barely passed the exam.,톰은 시험 간신히 붙었어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1027039 (CK) & #8358069 (Eunhee)
It's very hot in here.,여기 정말 더워졌다.,CC-BY 2.0 (France) Attribution: tatoeba.org #3733332 (CK) & #11115067 (intertime)
The moon doesn't have an atmosphere.,달에는 공기가 없어.,CC-BY 2.0 (France) Attribution: tatoeba.org #1578739 (CM) & #8365766 (Eunhee)
Let's take a trip.,여행 가자.,CC-BY 2.0 (France) Attribution: tatoeba.org #325547 (CK) & #11106040 (intertime)
They need the money.,그들은 그 돈이 필요하다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1829646 (Spamster) & #11105258 (intertime)
Tom sat in the front row.,톰은 앞 줄에 앉았다.,CC-BY 2.0 (France) Attribution: tatoeba.org #1024235 (CK) & #6200918 (Seo)
"I'm sorry, but there's no other way.","미안하지만, 이거 말곤 다른 방법이 없어.",CC-BY 2.0 (France) Attribution: tatoeba.org #7239404 (Hybrid) & #8361965 (Eunhee)
I'm a careful man.,난 조심성이 있는 사람이다.,CC-BY 2.0 (France) Attribution: tatoeba.org #259457 (CM) & #3681066 (intertime)
